,0
Week1,0.17467042362166818
Week2,0.401879064744712
Week3,0.3972740314812622
Week4,0.3870385150475771
Week5,0.35262860583350747
Week6,0.34471207309345825
Week7,0.3351036594941351
Week8,0.32211394604668825
Week9,0.3000590200486781
Week10,0.25919100076735774
Week11,0.25876422056044857
Week12,0.2548488225909846
Week13,0.25867605866964616
Week14,0.28004834584287913
Week15,0.2642531924508034
Week16,0.24713779003776362
Week17,0.23075429691770424
Week18,0.2463681103043482
Week19,0.25129060503088163
